comparison,mode,source_file,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,geo_rewrite_2023_2024,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,1,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;dimensions;durability_protection;material_shell;overhead_bin_or_airline_fit;packing_organization;tradeoff_or_limitation;trip_length;weight;wheels_mobility,10,0.5263157894736842,0.15484877405939534,0.19387755102040816,0.5319812120263437,0.8,9,1,151,Away > Away > July,"[Away] It also has a 39.8 L capacity, a 7.5 lb weight, a durable lightweight 100% polycarbonate shell, 360° smooth-gliding wheels, an interior compression system, mesh pockets, a hanging pocket, and a laundry bag, so it is well matched to a short trip without feeling overbuilt. [Away] July is also a strong option if you want a slightly larger carry-on because it is listed for 5-7 days, 6-8 outfits, 42 L capacity, and carry-on approval for all International standards, but that trip length is a little more than the 3-5 day need you described.","I would recommend Away for a 3-5 day trip because its page specifically says The Carry-On is made for quick trips of 3-5 days, fits 5-7 outfits, and is sized to fit in all overhead bins or the overhead bin of almost any flight."
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,1,BR,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,151,Away > Away > July,,
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,1,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,151,Away > Away > July,,
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,1,July,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,2,0.8,0,1,1,2.0,0.5,0.5,2,0.8,2,0,,0,0.0,0.0858462518542441,0.0,0.16716925037084882,0.3333333333333333,2,1,151,Away > Away > July,[July],"July is also a strong option if you want a slightly larger carry-on because it is listed for 5-7 days, 6-8 outfits, 42 L capacity, and carry-on approval for all International standards, but that trip length is a little more than the 3-5 day need you described."
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,1,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,151,Away > Away > July,,
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,geo_rewrite_2023_2024,1,5,1-5,2,Away,1,1,5.0,0.2,5,0.2,0.2,3,0.6,0,1,1,7.0,0.14285714285714285,0.14285714285714285,3,0.6,3,0,durability_protection;tradeoff_or_limitation,2,0.10526315789473684,0.013475785023303124,0.0,0.14708112191694134,-0.3333333333333333,1,2,190,July > BR > July > BR > Away,"[Away] The provided pages give brand claims and feature lists, but they do not provide independent drop-test results or side-by-side durability testing, so the durability recommendation is based only on the stated product-page information.","Away is also credible for durability because it uses a rigorously tested 100% polycarbonate hard shell, ergonomic reverse-coil zippers, and a limited warranty covering functional elements such as the shell, wheels, handles, and zippers."
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,2,BR,1,2,2.0,0.5,2,0.8,0.4,2,0.8,0,1,3,2.0,0.5,0.42857142857142855,2,0.8,2,0,durability_protection;handle;lock_security;material_shell;warranty_trial_return;wheels_mobility,6,0.3157894736842105,0.0413871413531996,0.0547945205479452,0.34632116775634053,0.7777777777777778,8,1,190,July > BR > July > BR > Away,"[July] [Briggs & Riley] July lists an aerospace-grade German polycarbonate shell, reinforced bumpers, YKK Japanese zippers, an integrated TSA lock, a curved eggshell design meant to minimize damage, and anodized aluminium bumpers for extra protection on hard drops. [Briggs & Riley] Away is also credible for durability because it uses a rigorously tested 100% polycarbonate hard shell, ergonomic reverse-coil zippers, and a limited warranty covering functional elements such as the shell, wheels, handles, and zippers.","For durability and protecting belongings, I would put July and Briggs & Riley at the top, with July best for hard-shell impact protection and Briggs & Riley best for long-term repair confidence. Briggs & Riley lists premium ultra-durable ballistic nylon, impact-resistant corner guards, self-repairing YKK zippers, a TSA-accepted combination cable lock, and a lifetime guarantee that says the company will repair the bag for life even if it is damaged by an airline."
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,2,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,190,July > BR > July > BR > Away,,
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,2,July,1,2,1.0,1.0,1,1.0,0.4,1,1.0,1,1,3,1.0,1.0,0.42857142857142855,1,1.0,1,1,durability_protection;lock_security;material_shell;overhead_bin_or_airline_fit;warranty_trial_return,5,0.2631578947368421,0.1074502855216733,0.275,0.4820383027183698,1.0,8,0,190,July > BR > July > BR > Away,"[July] [Briggs & Riley] July lists an aerospace-grade German polycarbonate shell, reinforced bumpers, YKK Japanese zippers, an integrated TSA lock, a curved eggshell design meant to minimize damage, and anodized aluminium bumpers for extra protection on hard drops. [July] Briggs & Riley lists premium ultra-durable ballistic nylon, impact-resistant corner guards, self-repairing YKK zippers, a TSA-accepted combination cable lock, and a lifetime guarantee that says the company will repair the bag for life even if it is damaged by an airline.","For durability and protecting belongings, I would put July and Briggs & Riley at the top, with July best for hard-shell impact protection and Briggs & Riley best for long-term repair confidence. July lists an aerospace-grade German polycarbonate shell, reinforced bumpers, YKK Japanese zippers, an integrated TSA lock, a curved eggshell design meant to minimize damage, and anodized aluminium bumpers for extra protection on hard drops."
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite_against_current,Away,current_2026,1,5,1-5,2,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,190,July > BR > July > BR > Away,,
